Autor,Favs,Retweets,Tiempo de Tweet,Tweet
Romy Rebori,0,12,2019-05-17 23:47:06,RT @Verogot: Que manera de querer desviar la atencion tienen los Cartistas. Se les metió en la cabeza que hay q desaforar a Buzarquis y Des…
Alba Valen,0,12,2019-05-17 23:25:54,RT @Verogot: Que manera de querer desviar la atencion tienen los Cartistas. Se les metió en la cabeza que hay q desaforar a Buzarquis y Des…
juan uran,0,12,2019-05-17 22:30:44,RT @Verogot: Que manera de querer desviar la atencion tienen los Cartistas. Se les metió en la cabeza que hay q desaforar a Buzarquis y Des…
Elena,0,1,2019-05-17 22:11:20,"RT @Verogot: @EnriqueRieraE Empeza x depurar tu propio partido si queres te creamos, uno limpia  su casa. Zacarias Irun se sienta a tu lado…"
Gustavo Espinola,0,12,2019-05-17 21:41:51,RT @Verogot: Que manera de querer desviar la atencion tienen los Cartistas. Se les metió en la cabeza que hay q desaforar a Buzarquis y Des…
Juan Carlos Fretes,0,29,2019-05-17 20:53:20,"RT @INFOBODEGAS1: Tiene cara @EnriqueRieraE para estar hablando de Corrupción tan vehementemente, estando a su lado y en su equipo Zacarías…"
GladysZG,0,67,2019-05-17 20:38:16,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Marvin Cikel,0,32,2019-05-17 20:23:43,RT @AR2i21912: Quiero saber porqué mierda Javier Zacarías Irún sigue votando y rechazando leyes. Porqué sigue en el senado? por menos ya  l…
Lady V,0,1,2019-05-17 20:16:44,"@EnriqueRieraE Empeza x depurar tu propio partido si queres te creamos, uno limpia  su casa. Zacarias Irun se sient… https://t.co/Aa9ouSzo5G"
Argón el Justiciero,0,12,2019-05-17 20:15:14,RT @Verogot: Que manera de querer desviar la atencion tienen los Cartistas. Se les metió en la cabeza que hay q desaforar a Buzarquis y Des…
velasquez angelica,0,12,2019-05-17 20:06:26,RT @Verogot: Que manera de querer desviar la atencion tienen los Cartistas. Se les metió en la cabeza que hay q desaforar a Buzarquis y Des…
Ma. Veronica Flores,0,12,2019-05-17 19:59:21,RT @Verogot: Que manera de querer desviar la atencion tienen los Cartistas. Se les metió en la cabeza que hay q desaforar a Buzarquis y Des…
Luz Acuña,0,32,2019-05-17 19:48:57,RT @AR2i21912: Quiero saber porqué mierda Javier Zacarías Irún sigue votando y rechazando leyes. Porqué sigue en el senado? por menos ya  l…
MENDEZ JORGE,0,0,2019-05-17 18:57:25,@CACEpyoficial QUE PASO CON PORTILLOO......LOS ZACARIAS IRUN...TOMAS RIVAS ...MUCHA MIERDA ESTUVIMOS VOTANDO CADA C… https://t.co/GIZkeWH8pL
Argón el Justiciero,0,6,2019-05-17 18:49:48,"RT @VicGaleano: @ledmp @joselopy @NormaBe70876102 @elisachez7 Tienen que irse todos los mierdas de Honor colorado, ir x ellos Zacarías Irún…"
Lady V,0,0,2019-05-17 18:38:52,"@EnriqueRieraE Y cuando vas a pedir la perdida de investidura de Zacarias Irun?
Digo ya q querés purgar el Senado y… https://t.co/EBQvo0sEFG"
Eduardo Sequera,0,32,2019-05-17 18:38:40,RT @AR2i21912: Quiero saber porqué mierda Javier Zacarías Irún sigue votando y rechazando leyes. Porqué sigue en el senado? por menos ya  l…
velasquez angelica,0,6,2019-05-17 18:29:54,"RT @VicGaleano: @ledmp @joselopy @NormaBe70876102 @elisachez7 Tienen que irse todos los mierdas de Honor colorado, ir x ellos Zacarías Irún…"
Lady V,12,12,2019-05-17 18:26:03,Que manera de querer desviar la atencion tienen los Cartistas. Se les metió en la cabeza que hay q desaforar a Buza… https://t.co/diq66MtPQR
GladysZG,0,6,2019-05-17 18:11:49,"RT @VicGaleano: @ledmp @joselopy @NormaBe70876102 @elisachez7 Tienen que irse todos los mierdas de Honor colorado, ir x ellos Zacarías Irún…"
Piti Espinoza,0,0,2019-05-17 18:03:38,"@srasmusseng ZACARIAS IRÚN corresponde que continúe ahí?
No entiendo."
Diego 🍏,0,32,2019-05-17 17:52:47,RT @AR2i21912: Quiero saber porqué mierda Javier Zacarías Irún sigue votando y rechazando leyes. Porqué sigue en el senado? por menos ya  l…
El perro bobi,0,32,2019-05-17 17:33:39,RT @AR2i21912: Quiero saber porqué mierda Javier Zacarías Irún sigue votando y rechazando leyes. Porqué sigue en el senado? por menos ya  l…
nomorename,0,6,2019-05-17 17:20:23,"RT @VicGaleano: @ledmp @joselopy @NormaBe70876102 @elisachez7 Tienen que irse todos los mierdas de Honor colorado, ir x ellos Zacarías Irún…"
joselo 🇵🇾 🇨🇴🇧🇷,0,6,2019-05-17 17:14:30,"RT @VicGaleano: @ledmp @joselopy @NormaBe70876102 @elisachez7 Tienen que irse todos los mierdas de Honor colorado, ir x ellos Zacarías Irún…"
VICTOR,9,6,2019-05-17 17:04:55,"@ledmp @joselopy @NormaBe70876102 @elisachez7 Tienen que irse todos los mierdas de Honor colorado, ir x ellos Zacar… https://t.co/aV6FLEHq4r"
Ever Osorio,0,29,2019-05-17 16:41:56,"RT @INFOBODEGAS1: Tiene cara @EnriqueRieraE para estar hablando de Corrupción tan vehementemente, estando a su lado y en su equipo Zacarías…"
patricia zarza,0,29,2019-05-17 15:34:09,"RT @INFOBODEGAS1: Tiene cara @EnriqueRieraE para estar hablando de Corrupción tan vehementemente, estando a su lado y en su equipo Zacarías…"
César Mancuello,0,67,2019-05-17 15:31:36,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Myrian Cohene,0,0,2019-05-17 14:57:54,@EnriqueRieraE Me gustaría que pida también de Zacarías Irún.Está en su lista?
Lex,0,67,2019-05-17 14:07:36,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
matias reyes,0,0,2019-05-17 13:35:25,@ro_friedmann Zacarias Irun para cuando?
Victor Cabral,4,1,2019-05-17 13:30:04,"@PayoPY Y al lado Zacarías Irún con su escarapela. Honesto, patriota y que ama de corazón al pueblo paraguayo?"
KikeUlivi.- Bicampeón😎,0,67,2019-05-17 13:27:15,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
oma1980 ⛿👌🏼Tri C4MP3ON!,0,67,2019-05-17 13:16:40,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Ariel Gimenez,0,67,2019-05-17 13:16:04,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Sergio,0,67,2019-05-17 12:59:32,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Cristianreca_94,0,67,2019-05-17 12:57:54,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
velasquez angelica,0,67,2019-05-17 12:53:07,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Carlos Kiese,0,67,2019-05-17 12:49:04,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Nadia Dávalos,0,67,2019-05-17 12:38:51,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Elder A. Fernández B,0,29,2019-05-17 12:36:58,"RT @INFOBODEGAS1: Tiene cara @EnriqueRieraE para estar hablando de Corrupción tan vehementemente, estando a su lado y en su equipo Zacarías…"
ENCARO,0,67,2019-05-17 12:22:06,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
ariel,0,67,2019-05-17 12:12:36,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
eorb®i,0,67,2019-05-17 12:07:33,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Smarteam AD,0,67,2019-05-17 11:45:44,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
